,A.1 Expected Annual Damage,A.1 Expected Number of Deaths,A.2 Expected Annual Damage,A.2 Expected Number of Deaths,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,A.5 Expected Annual Damage,A.5 Expected Number of Deaths,Total Infrastructure Costs
487,5116007.891325321,0.004419806855703187,48044452.34382517,0.054278825719244146,0.0,0.0,0.0,0.0,11068771.68625446
488,5984880.534312798,0.004546768344198335,40650936.346313134,0.04082653113178931,0.0,0.0,123413366.33450988,0.11687206157707106,11068771.68625446
489,2562385871.565983,1.5111118432488149,4830248.170551584,0.0038997449836841594,0.0,0.0,0.0,0.0,11068771.68625446
490,0.0,0.0,334166561.7872561,0.2588808861976694,0.0,0.0,6418294.343681431,0.004783112168414065,11068771.68625446
491,13530796.502602229,0.012695243398687259,32455317.865613103,0.040346015128326564,0.0,0.0,0.0,0.0,11068771.68625446
492,2539738610.9297953,1.4943823148028281,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
493,143374676.58943135,0.10055289938366299,57800970.06211453,0.05417599677083929,0.0,0.0,0.0,0.0,11068771.68625446
494,50737002.14922246,0.038202457767074954,196060227.69840533,0.1882794800403954,0.0,0.0,0.0,0.0,11068771.68625446
495,1502609889.3035488,0.8875859520848659,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
496,2589843521.8468537,1.5314102214022478,0.0,0.0,0.0,0.0,2235290.87448403,0.0017546710077214005,11068771.68625446
497,0.0,0.0,579087847.4616537,0.45815010324634586,0.0,0.0,0.0,0.0,11068771.68625446
498,1972948218.373946,1.550071707831745,60835549.03042616,0.06618039973789407,0.0,0.0,0.0,0.0,11068771.68625446
499,1084536007.3875835,1.0027729426698355,16148094.027275734,0.02037834478078969,0.0,0.0,0.0,0.0,11068771.68625446
500,0.0,0.0,166068248.24654922,0.18569834298896706,0.0,0.0,11925697.79137158,0.013103326695196137,11068771.68625446
501,2467698422.6975355,1.5316202279714923,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
502,409958736.9780456,0.26703977723345007,0.0,0.0,0.0,0.0,767735459.693981,0.6292773559011047,11068771.68625446
503,2142631829.5974798,1.5554363827876179,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
504,0.0,0.0,5417826.914013496,0.004810278959759151,0.0,0.0,244828237.95887023,0.19785331320686694,11068771.68625446
505,0.0,0.0,36802912.5183257,0.031730740103284,0.0,0.0,45068793.909095004,0.03686428679171959,11068771.68625446
506,2492491782.6176276,1.5508684395578367,90323827.21997672,0.07589563732789638,0.0,0.0,0.0,0.0,11068771.68625446
507,1696450079.5313354,1.5533090275431485,423459567.4745892,0.4699430393531915,0.0,0.0,0.0,0.0,11068771.68625446
508,600891043.1139345,0.41518453476250444,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
509,2639555856.2789702,1.5386583107433807,41862373.4686248,0.03264944272559149,0.0,0.0,0.0,0.0,11068771.68625446
510,130195919.00473395,0.09760456725686457,86585199.01419434,0.08556856405361338,0.0,0.0,0.0,0.0,11068771.68625446
511,2218784270.2344575,1.5213087202065725,28842499.3031876,0.02692399071344974,0.0,0.0,0.0,0.0,11068771.68625446
512,29141356.812484436,0.023773003050969962,13077575.943405025,0.014508547387966683,0.0,0.0,0.0,0.0,11068771.68625446
513,1958735505.7236233,1.5361370764975835,443366382.65098333,0.42925089305919994,0.0,0.0,0.0,0.0,11068771.68625446
514,1849793777.1458125,1.5421791005933843,614081794.2238021,0.6561488294141279,0.0,0.0,0.0,0.0,11068771.68625446
515,109284016.96424288,0.05841311376790073,13112419.354496997,0.009584383313014377,10850363.330223175,0.004299910930880729,220793474.7394655,0.1498773971312958,11068771.68625446
516,1772919480.9989395,1.020031464361968,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
517,2473879458.4178343,1.5364181244075703,41143818.515692234,0.03486810572377501,0.0,0.0,128054775.45342025,0.10425760967239323,11068771.68625446
518,2141962213.4278765,1.5548300751258575,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
519,2107299565.591002,1.559983829173015,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
520,16960561.659670185,0.013067459614660205,22789145.31543975,0.023642437542918317,0.0,0.0,930697259.4142616,0.8529561287079225,11068771.68625446
521,2190804949.9679832,1.531423503407495,124989380.1595775,0.11931708919021633,0.0,0.0,0.0,0.0,11068771.68625446
522,1131793983.4837542,0.6770164154868735,894964558.3088808,0.6741268273819809,0.0,0.0,0.0,0.0,11068771.68625446
523,0.0,0.0,30422217.139048688,0.04045011167498856,0.0,0.0,4112337.3014380177,0.005157218447656674,11068771.68625446
524,0.0,0.0,12246378.000052359,0.017849311336047308,0.0,0.0,0.0,0.0,11068771.68625446
525,2069891708.2365813,1.5254732642710072,12775444.268479904,0.013771898841966165,0.0,0.0,26851117.776187003,0.02717429143031255,11068771.68625446
526,1818461604.8404365,1.559983829173015,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
527,186080921.63236496,0.13234827392062237,799873701.0420458,0.6945489215768889,0.0,0.0,0.0,0.0,11068771.68625446
528,2617761834.471728,1.5520597679411314,5240817.58207335,0.003983271201522897,0.0,0.0,0.0,0.0,11068771.68625446
529,1979366266.5365891,1.5563638514425002,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
530,30393890.818201236,0.02335071888727594,191421542.28156078,0.18655055747097424,0.0,0.0,0.0,0.0,11068771.68625446
531,2731943415.4076834,1.550988093955289,13276959.455171091,0.010612163475785356,0.0,0.0,296783716.33913094,0.2215714798832076,11068771.68625446
532,6295258.919982756,0.004444604462176277,428300305.29420036,0.36904549419181043,0.0,0.0,0.0,0.0,11068771.68625446
533,54384265.22334753,0.04658109204477247,35632054.90168314,0.04087704141055362,0.0,0.0,0.0,0.0,11068771.68625446
534,234231487.15403047,0.2071872087339367,90102861.36517996,0.10519770237478548,0.0,0.0,0.0,0.0,11068771.68625446
535,0.0,0.0,652891339.6292422,0.6389178429503888,0.0,0.0,0.0,0.0,11068771.68625446
536,98484294.01223905,0.060769817919652344,38838181.73670146,0.032386679636892304,0.0,0.0,0.0,0.0,11068771.68625446
537,2316901066.4189897,1.5020689471866127,72447528.99355768,0.06502707194015309,0.0,0.0,173614580.9729613,0.15063112457730232,11068771.68625446
538,183644768.58835006,0.127112494825228,4815330.74884521,0.004612991158556401,0.0,0.0,620595622.5555258,0.5378723425634092,11068771.68625446
539,601336821.4973835,0.41555970817869636,413025641.76965326,0.36823093352873937,0.0,0.0,0.0,0.0,11068771.68625446
540,0.0,0.0,27516548.60463845,0.02942294875496119,0.0,0.0,320255674.1646377,0.31615958537456224,11068771.68625446
541,0.0,0.0,599453641.8207992,0.6353927229783433,0.0,0.0,0.0,0.0,11068771.68625446
542,2480181808.3947654,1.5413112096393617,40534609.614581585,0.03412737031177145,0.0,0.0,0.0,0.0,11068771.68625446
543,2131819724.885775,1.545648873651098,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
544,16590220.718292307,0.013260010803580994,664773436.7040138,0.6344223838303756,0.0,0.0,731521077.2802967,0.6597032698654983,11068771.68625446
545,1584537869.143023,0.9942826719048593,0.0,0.0,13097795.404816277,0.005596566955906342,0.0,0.0,11068771.68625446
546,2163233479.3402357,1.5073293060283925,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
547,0.0,0.0,23085509.312735848,0.023414313623289565,0.0,0.0,0.0,0.0,11068771.68625446
548,96393413.06058107,0.0729135877639277,1523591.7667652857,0.0015750517987418939,0.0,0.0,117684692.18227026,0.113665842606847,11068771.68625446
549,897550870.2431571,0.6806302846418391,0.0,0.0,0.0,0.0,410014234.22806,0.3967103827406635,11068771.68625446
550,1926164533.7750616,1.504222992654317,89128073.022699,0.09452459016027667,0.0,0.0,0.0,0.0,11068771.68625446
551,4556224.697806574,0.004612021485855043,583740665.0317805,0.6984079113622914,0.0,0.0,0.0,0.0,11068771.68625446
552,6119532.335671946,0.004385388985959363,4919941.76746817,0.004805942666318412,0.0,0.0,0.0,0.0,11068771.68625446
553,110673180.55889872,0.07742013112663687,799919859.0339816,0.6743809216504772,0.0,0.0,0.0,0.0,11068771.68625446
554,2365660514.991451,1.541743670800406,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
555,0.0,0.0,213728852.632253,0.1840387648438685,0.0,0.0,0.0,0.0,11068771.68625446
556,1839998757.5038624,1.5319789411431874,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
557,7467468.618259232,0.0046999589133239145,28352303.719394192,0.023997830034654808,21132052.087671995,0.009196889196340244,7755661.716703838,0.006123327526308566,11068771.68625446
558,1699188234.706707,1.5564366267593543,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
559,341388589.6369103,0.2050346573091257,234684646.0954707,0.18367840752199432,0.0,0.0,0.0,0.0,11068771.68625446
560,0.0,0.0,99006648.5249568,0.08818591561736151,0.0,0.0,0.0,0.0,11068771.68625446
561,2487697433.8869987,1.5471464965538346,0.0,0.0,0.0,0.0,373469370.7555926,0.29554328028720755,11068771.68625446
562,32033351.88081905,0.02339448171037512,338013168.0690966,0.3068952111478232,0.0,0.0,0.0,0.0,11068771.68625446
563,42911721.76287393,0.031208028635621228,11981729.484931903,0.01186214692019184,0.0,0.0,23910144.414010078,0.021101443153000363,11068771.68625446
564,0.0,0.0,4838942.583045759,0.004841286730013446,0.0,0.0,0.0,0.0,11068771.68625446
565,53365966.01431841,0.0468995356760822,281518456.8876964,0.3101883477806303,81162112.1181998,0.03954313610006046,0.0,0.0,11068771.68625446
566,0.0,0.0,14454150.191509262,0.01794370357508903,0.0,0.0,779418210.5561473,0.8504215677543278,11068771.68625446
567,584715632.1746106,0.41805187614076417,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
568,0.0,0.0,630634291.1664582,0.6829984579178228,0.0,0.0,0.0,0.0,11068771.68625446
569,100688788.07313603,0.0582397213509706,12883018.742433129,0.01025340571539379,0.0,0.0,0.0,0.0,11068771.68625446
570,2116967756.7400298,1.5322040552889644,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
571,167633237.58067387,0.13237750534237186,31847510.072972316,0.03380909775171329,0.0,0.0,38642277.65720223,0.03871784958460365,11068771.68625446
572,1954493562.1762424,1.5319789411431874,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
573,41657804.57025717,0.03199212207984752,71472217.86348462,0.07209064639517927,0.0,0.0,61490011.77510916,0.05927404956295742,11068771.68625446
574,0.0,0.0,68369474.00013846,0.07072521715770239,0.0,0.0,0.0,0.0,11068771.68625446
575,174488862.02253842,0.13024417413159803,1534354.9830389074,0.001596373799222802,0.0,0.0,46065246.195505224,0.04476106346115745,11068771.68625446
576,8198228.334019804,0.004465631877784064,123253113.80518927,0.08640912131502196,0.0,0.0,0.0,0.0,11068771.68625446
577,2069241872.0893543,1.5322136273017928,175161355.4337527,0.177769713648686,0.0,0.0,258344362.0403748,0.2498386309395175,11068771.68625446
578,105193427.52554475,0.07429943288724855,822760549.569839,0.7030808312717968,0.0,0.0,0.0,0.0,11068771.68625446
579,1689583045.247321,1.5454666018232275,0.0,0.0,0.0,0.0,4502218.566934198,0.0054877027665200424,11068771.68625446
580,115749573.83058444,0.07294976501636215,142971098.84764853,0.11724067468130364,0.0,0.0,0.0,0.0,11068771.68625446
581,1779719133.3389535,1.5185683799451148,17786131.910312463,0.021578817824113375,0.0,0.0,0.0,0.0,11068771.68625446
582,2073627636.74821,1.5289188885382936,187977773.20427537,0.16977137159608036,0.0,0.0,0.0,0.0,11068771.68625446
583,2046512059.1006784,1.5039193196278564,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
584,41179378.32559463,0.031564254399033945,3874447.186234049,0.0040687576043947835,0.0,0.0,0.0,0.0,11068771.68625446
585,0.0,0.0,157520455.56793827,0.18838834749929748,0.0,0.0,0.0,0.0,11068771.68625446
586,2213662862.016822,1.5514098022554803,481333373.5377177,0.40843810662623636,0.0,0.0,0.0,0.0,11068771.68625446
587,2745537700.2036285,1.5606185691312908,0.0,0.0,0.0,0.0,0.0,0.0,11068771.68625446
588,934588996.7002468,0.6696797578688258,303777826.03585,0.2820288881487081,0.0,0.0,0.0,0.0,11068771.68625446
589,2476455025.805142,1.538417718319423,0.0,0.0,0.0,0.0,445025102.81112766,0.3328184603592771,11068771.68625446
590,190791368.78196028,0.1330633425633055,427070173.6653296,0.376085016747859,0.0,0.0,0.0,0.0,11068771.68625446
591,0.0,0.0,182393893.87052363,0.18814623969943908,0.0,0.0,0.0,0.0,11068771.68625446
